Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.6479114735004082,0.032725708001678525,0.9951032250602212,0.6427488692650699,33.270146155618,0.90900576
2,1.0001182410688627,0.004096897874703808,0.9986404337816768,0.9987131228483228,34.21266712358034,0.91728055
3,1.0000001255757909,0.00383663138096121,0.9999948646971788,0.9999949920469176,33.93472203768247,0.89742506
4,1.000000078073412,0.003984822441139918,0.9999975132406074,0.999997591116914,30.533387462293106,0.90301543
5,1.0000000085740808,0.0037297322938568884,0.9999998015543771,0.9999998132821428,34.0479230492324,0.92310184
6,1.0000000004927632,0.003540172431245785,0.999999967832414,0.999999969507809,32.51711395032342,0.911635
7,0.9999999998817368,0.0035239959065548315,0.9999999972011047,0.9999999973784994,33.97965963777579,0.9223122
8,1.0,0.0033731767867509186,0.9999999997240526,0.9999999997831842,34.26949412298188,0.9188924
9,1.0,0.0033580704154494456,0.9999999999802894,1.0,33.274661475809275,0.9247109
10,1.0,0.003287726741190353,1.0,1.0,34.39706525830384,0.9242939
11,1.0,0.0032601136122596148,1.0,1.0,33.95917235576703,0.92427486
12,1.0,0.0032027362260758684,1.0,1.0,33.986905111533304,0.9257638
13,1.0,0.0031942909076788633,1.0,1.0,33.878931285337444,0.92617506
14,1.0,0.003139132028976862,1.0,1.0,34.809023849309874,0.92614853
15,1.0,0.003124848655023102,1.0,1.0,33.760666493159846,0.9255263
