Epoch,Loss_D,Loss_G,Score_D,Score_G,psnr,ssim,nqm
1,0.24838148346110556,0.06994345777726643,0.5052578494452085,0.497297198491402,33.25800323486328,0.8936980962753296,31.3882999420166
2,0.2500495097037626,0.060373401286837144,0.5008122811837451,0.49885098613373746,33.40513229370117,0.8939744830131531,33.014068603515625
3,0.2498506959976693,0.05986517060795544,0.5004990641104341,0.4988779143366233,34.06477737426758,0.8998310565948486,35.38740539550781
4,0.24989260872415345,0.05980132217532673,0.5005461046146968,0.4992604832362596,33.74211120605469,0.8989940285682678,33.245399475097656
5,0.24984546448117773,0.05968456573429562,0.5004310205289716,0.4992210654424682,34.04733657836914,0.896662712097168,36.127708435058594
6,0.2497469324887955,0.059610137521020456,0.5006515942097831,0.4991177764273895,33.36851501464844,0.8824979066848755,34.54851150512695
7,0.2498938950333856,0.05934517810133224,0.5004031239520936,0.49923359961421404,-6.1898651123046875,0.17464974522590637,7.637779712677002
8,0.2246979562667522,0.07660629548601092,0.5411147953025879,0.47011781896933746,30.604734420776367,0.8388399481773376,30.05248260498047
9,0.24276040212800404,0.06354975621536295,0.5088695496198081,0.4876841655957005,32.68250274658203,0.8765748739242554,31.966583251953125
10,0.22964331392485698,0.06431609283320207,0.5238711616174394,0.4734938289052525,32.359161376953125,0.8606317043304443,32.53976058959961
11,0.24270124673002402,0.062380062496133024,0.5122291113281165,0.4870229783319572,32.668174743652344,0.8848843574523926,32.22486877441406
12,0.2479519119496068,0.060596408503133366,0.5033402002379868,0.49567818455945595,32.34152603149414,0.8735181093215942,32.80592727661133
13,0.24769856568769733,0.06052606898759093,0.503658344619839,0.49554830629253727,32.687137603759766,0.8659862279891968,35.869895935058594
14,0.24779203374251976,0.06034987960569232,0.5033048363309408,0.49536002202639506,33.08934020996094,0.8896130323410034,31.998462677001953
15,0.24853668336497553,0.060134365312593044,0.5026281149614424,0.4967428437318611,32.581668853759766,0.8614339828491211,34.14314270019531
16,0.24846461078897775,0.05999980114404767,0.5024382604668239,0.49687006797144373,33.20344543457031,0.880916953086853,34.36414337158203
17,0.2465032895809058,0.060381789997806974,0.5048539715784567,0.494384513505412,33.06489944458008,0.8779693841934204,34.883079528808594
18,0.11500049192542708,0.0891062195627988,0.7095595371681126,0.28293428173412444,28.330297470092773,0.7789199352264404,22.92070198059082
19,0.023239357251458218,0.10650415282459959,0.8851425532976506,0.09517019834240208,29.429208755493164,0.8687275648117065,25.467845916748047
20,0.006361200276173395,0.10767825852109361,0.9325472177791988,0.05362503558806834,31.576614379882812,0.8779844045639038,28.835205078125
21,0.009617170792219198,0.10799656283638184,0.9343474410794049,0.054226489871771005,32.0549201965332,0.8900390863418579,31.972511291503906
22,0.014326101588625965,0.1092278721650897,0.9255486312752118,0.05731943651195013,29.74797248840332,0.8092749714851379,28.22576904296875
23,0.005166335636975714,0.11312994607086395,0.9483234302952737,0.033437727860447186,29.138442993164062,0.783700168132782,32.7923469543457
24,0.002830503407449241,0.10909796722325278,0.9595421559491065,0.030801002668498247,29.222673416137695,0.794435977935791,28.758289337158203
25,0.0066713451515196896,0.10923921562477219,0.9536974050152799,0.03590006998733019,33.14216232299805,0.8937427401542664,31.555301666259766
26,0.05589892207509541,0.10160746713163991,0.8810956021885813,0.12084099938238871,30.678367614746094,0.8732573986053467,23.23239517211914
27,0.19012026076830885,0.07510952440707526,0.6016314244844996,0.3969773694101955,31.01817512512207,0.8662568926811218,24.594470977783203
28,0.2540824090441068,0.06172531356006808,0.5030080661186396,0.4983177966646837,33.393428802490234,0.8872408270835876,33.175411224365234
29,0.25225654364000133,0.06005946823397431,0.4995656334288607,0.4999554665876374,33.43867492675781,0.8908261060714722,34.27206802368164
30,0.25074323096796036,0.05976320385411688,0.5002787208851472,0.4989392515983671,33.798301696777344,0.8955761194229126,34.826290130615234
31,0.2486713293727393,0.059899115277950304,0.502576192850789,0.49678273016323,33.329219818115234,0.8866243362426758,32.74073028564453
32,0.24951948910986654,0.05970667162006704,0.5017807446004081,0.49798206780007276,33.604339599609375,0.8944658041000366,35.27669143676758
33,0.24889171078827435,0.05972663300119555,0.5020876979473967,0.49733854878446343,34.08720397949219,0.8973872065544128,36.06563949584961
34,0.24753909645660144,0.05996925123955733,0.5039769250249105,0.49551420223881115,33.98811721801758,0.8959496021270752,34.682918548583984
35,0.24641291945209087,0.06029124402477768,0.5051096842122176,0.49345072422358377,32.986881256103516,0.8750461339950562,34.481929779052734
36,0.24301014164312668,0.06114917652334346,0.5097197967984969,0.48813330182813325,33.646907806396484,0.8889224529266357,33.370723724365234
37,0.2413965048884939,0.06141902817996862,0.5120872632150858,0.48632370099328953,32.43799591064453,0.8617518544197083,35.169368743896484
38,0.23997244075475055,0.061519681616767866,0.5134438531126154,0.48416515022323525,33.336483001708984,0.8891651630401611,34.33893585205078
39,0.2363246849955425,0.06201237909329386,0.5175992650522476,0.48012510938093567,32.750770568847656,0.8886198401451111,31.155654907226562
40,0.23428208767263978,0.062397982446648736,0.5202155554473294,0.477220177922019,33.37720489501953,0.8900358080863953,33.51766586303711
41,0.23137926100055167,0.06266991847984794,0.5233731444953541,0.4734996547949868,33.97201919555664,0.8949131965637207,34.27903366088867
42,0.2285899502049468,0.06304889715231214,0.5267710842100191,0.4710512047196612,33.23960876464844,0.8910227417945862,31.829910278320312
43,0.2240959471600817,0.06377478315878762,0.5321194196819629,0.4649557056740969,33.36574172973633,0.8849886059761047,34.977745056152344
44,0.2229464054545678,0.06396109498774459,0.5335210851453319,0.4630508181244258,33.215431213378906,0.886095404624939,33.1587028503418
45,0.21977608843209953,0.06444496243561386,0.5375740212475392,0.4594357359819311,33.3629150390625,0.8892794251441956,32.68134689331055
46,0.2168401195801825,0.06479964294371747,0.5408845762516876,0.4561517195341378,31.76736068725586,0.8483042120933533,32.13800811767578
47,0.21389549492755966,0.06509987605973282,0.5443841701987769,0.452348105981727,33.5295295715332,0.890757143497467,30.6352596282959
48,0.211651772970245,0.06554997072986019,0.5478243390421248,0.44875298176773293,31.278324127197266,0.8333507776260376,33.40287780761719
49,0.20713795198982846,0.06631003458190847,0.5528582258304381,0.4432411471547133,32.998897552490234,0.8956957459449768,27.63603973388672
50,0.20567193530556876,0.06625952467821683,0.5547953307856398,0.4419611262213406,31.641178131103516,0.8606457710266113,29.820350646972656
51,0.19606263521206793,0.06815211558336724,0.569112324096188,0.4232568977984311,33.100093841552734,0.8831025958061218,33.15217971801758
52,0.19679940382849812,0.06782194843810317,0.567602217784354,0.426935739513007,32.598575592041016,0.8866498470306396,29.361709594726562
53,0.19484518580510993,0.0677638512262434,0.5713506765238753,0.42615457413513336,32.73198699951172,0.8886101245880127,28.312267303466797
54,0.1910614573923999,0.06833520601736245,0.5761557004246411,0.42126612581623646,32.385799407958984,0.882526159286499,31.515819549560547
55,0.1787587430006192,0.0699600786756919,0.5894439103829727,0.40523864128251835,32.53973388671875,0.8706954717636108,31.85024070739746
56,0.16893136570080108,0.0719185384994549,0.6035337052945877,0.38694651922466194,33.149593353271484,0.8788497447967529,32.672061920166016
57,0.16286789930520304,0.07277119728456799,0.6143905061928403,0.3808966524272649,33.07127380371094,0.8815047144889832,31.09992027282715
58,0.15099813503107556,0.07488443771774701,0.6305119457015705,0.3628713931233514,33.205318450927734,0.8875586986541748,30.432998657226562
59,0.12912471411308424,0.07811023886679622,0.6634971964523976,0.3294393434849015,32.16550064086914,0.873439371585846,31.40847396850586
60,0.1327201823765814,0.07966229692977503,0.6593057178946399,0.3304148236621414,32.51308059692383,0.8823132514953613,30.000585556030273
